order_item_id INT ,order_id INT,variant_id INT,quantity INT,"price DECIMAL(10, 2)"
40001,30001,501,2,1599.98
40002,30001,503,1,999.99
40003,30002,502,3,2099.97
40004,30002,510,5,39.98
40005,30003,513,1,49.99
40006,30003,521,2,1799.98
40007,30004,527,2,19.98
40008,30004,528,1,14.99
40009,30005,533,1,799.99
40010,30005,566,3,59.97
40011,30005,580,1,899.99
40012,30001,505,2,99.98
40013,30001,507,1,1099.99
40014,30002,511,3,89.97
40015,30002,513,2,24.98
40016,30003,517,1,999.99
40017,30003,519,2,49.98
40018,30004,521,2,1399.98
40019,30004,523,1,449.99
40020,30005,527,1,9.99
40021,30005,529,3,359.97
40022,30006,533,2,79.98
40023,30006,535,1,299.99
40024,30007,537,2,39.98
40025,30007,539,1,49.99
40026,30008,541,1,299.99
40027,30008,543,2,259.98
40028,30009,545,3,284.97
40029,30009,547,1,59.99
40030,30010,549,1,64.99
40031,30010,551,2,649.98
40032,30011,553,2,2799.98
40033,30011,555,1,349.99
40034,30012,557,1,29.99
40035,30012,559,3,899.97
40036,30013,561,2,519.98
40037,30013,563,1,1499.99
40038,30014,565,1,199.99
40039,30014,567,2,79.98
40040,30015,569,2,2199.98
40041,30015,571,1,499.99
40042,30016,573,1,39.99
40043,30016,575,2,459.98
40044,30017,577,1,999.99
40045,30017,579,3,899.97
40046,30018,581,2,799.98
